barrio,localidad,area_has,listing_count,area_km2,density_per_km2
LAS GRANJAS,Metropolitana,42.01,0.0,0.41971960551467935,0.0
VILLA DEL CARMEN,Suroriental,2.85,0.0,0.028505677246156273,0.0
7 DE ABRIL,Metropolitana,114.63,5.0,1.1453614776427443,4.36543405518618
20 DE JULIO,Metropolitana,32.26,1.0,0.3223486027873846,3.102231532424486
BELLA ARENA,Suroriental,10.43,0.0,0.10416946623369967,0.0
EL MILAGRO,Suroriental,7.31,0.0,0.07308733746579243,0.0
LOS LAURELES,Suroriental,4.5,0.0,0.04497706317965004,0.0
VILLA SAN CARLOS,Metropolitana,13.96,0.0,0.13952479165004683,0.0
SANTA MARIA,Metropolitana,76.39,0.0,0.7632504049898514,0.0
VILLA BLANCA,"Suroriente, Metropolitana",19.73,0.0,0.19715256091126449,0.0
SAN NICOLAS,"Suroriente, Metropolitana",17.0,1.0,0.16989335405995562,5.886045428516871
LAS DUNAS,Suroriental,3.96,0.0,0.039606880734550785,0.0
VILLA SAN PEDRO II,Metropolitana,36.22,0.0,0.36194914296216363,0.0
CARRIZAL,Metropolitana,107.95,0.0,1.0785791017411235,0.0
LAS GARDENIAS,Metropolitana,23.8,0.0,0.23783869951066777,0.0
BUENOS AIRES,Metropolitana,26.99,0.0,0.2696686660224493,0.0
SAN LUIS,Metropolitana,29.17,5.0,0.29148314322112157,17.153650618509207
SANTO DOMINGO DE GUZMAN,Metropolitana,112.85,1.0,1.127560107356723,0.8868706807517738
LA MAGDALENA,Suroriental,43.28,1.0,0.4323957719716682,2.3126960641639274
TAYRONA,Suroriental,18.79,0.0,0.18773696409362983,0.0
SAN PEDRO,Suroccidente,6.18,0.0,0.06179229664323098,0.0
LAS AMERICAS,Metropolitana,72.92,0.0,0.7286108305121586,0.0
CORDIALIDAD,Suroccidente,25.36,0.0,0.25343237541478525,0.0
CALIFORNIA,Suroccidente,8.7,0.0,0.0869247574763915,0.0
SANTA HELENA,Suroriental,23.06,0.0,0.23041741887398232,0.0
PRIMERO DE MAYO,Suroriental,26.17,0.0,0.2615058051035017,0.0
EL ROMANCE,Suroccidente,8.54,0.0,0.08537942614720455,0.0
EL SANTUARIO,Metropolitana,47.93,1.0,0.47886535123337937,2.08826969298232
VILLA FLOR,Suroccidente,3.9,0.0,0.03900103870687413,0.0
LA ALBORAYA,Suroriental,34.46,3.0,0.34429382187312313,8.713487752055975
LA GLORIA,Suroccidente,7.7,0.0,0.07692157438664489,0.0
LAS PALMAS,Suroriental,51.91,2.0,0.5186916087228397,3.855855707642053
EL CAMPITO,Suroriental,17.17,2.0,0.1715691591655679,11.657106730178455
KENNEDY,Metropolitana,22.18,0.0,0.22158919555978276,0.0
LOS CONTINENTES,Metropolitana,14.24,0.0,0.1422950458152415,0.0
LA SIERRITA,Metropolitana,64.47,0.0,0.644150118723378,0.0
SAN PEDRO ALEJANDRINO,Suroccidente,12.41,0.0,0.12403519431882791,0.0
LA CHINITA,Suroriental,51.16,0.0,0.5111744092138408,0.0
LA UNION,Suroriental,52.14,4.0,0.520933962163575,7.678516454152756
LA VICTORIA,Suroriental,73.42,4.0,0.7335595934305015,5.452863047286923
LAS MALVINAS,Suroccidente,76.4,0.0,0.7633290552422366,0.0
LA SIERRA,Metropolitana,35.17,2.0,0.3514312869032757,5.691012936336711
LAS NIEVES,Suroriental,140.77,0.0,1.4065662934950391,0.0
BOYACA,Suroriental,19.78,2.0,0.19766126472194065,10.118320363949374
LOS TRUPILLOS,Suroriental,16.47,0.0,0.16454781992006423,0.0
EL BOSQUE,Suroccidente,204.83,0.0,2.046589608842218,0.0
CEVILLAR,Metropolitana,36.19,2.0,0.36159822262757635,5.531000637854007
7 DE AGOSTO,Suroccidente,13.31,0.0,0.13294346821201602,0.0
LA LUZ,Suroriental,70.05,0.0,0.6999149104799288,0.0
LA CEIBA,Suroccidente,29.2,2.0,0.2918075493343495,6.853832275971807
LOS ROSALES,Suroccidente,43.35,0.0,0.4331606107392289,0.0
LIPAYA,Suroccidente,43.12,0.0,0.43082360524183766,0.0
EL PUEBLO,Suroccidente,32.7,2.0,0.3267625475281875,6.120652489488484
EVARISTO SOURDIS,Suroccidente,75.35,1.0,0.7529134102846332,1.3281739790262967
SAN JOSE,Suroriental,92.59,10.0,0.9251895918761519,10.808595435797578
MONTES,Suroriental,61.44,2.0,0.6139045465581182,3.2578354586443194
CIUDAD MODESTO,Suroccidente,31.06,1.0,0.31031483919683506,3.2225336132433307
PUMAREJO,Suroccidente,17.28,0.0,0.17262768749158178,0.0
ALFONSO LOPEZ,Suroccidente,21.41,7.0,0.2139018413631227,32.725290981094005
EL CARMEN,Suroccidente,50.76,2.0,0.5071593922924992,3.943533394815884
LOS ANGELES II,Suroccidente,21.75,0.0,0.21735890263383176,0.0
LA ESMERALDA,Suroccidente,81.06,1.0,0.8099627503778182,1.234624678151602
ATLANTICO,Suroriental,16.84,2.0,0.16829761812429367,11.88370948020744
LA PAZ,Suroccidente,64.36,2.0,0.6430821351079331,3.1100226406761022
CIUDADELA DE LA SALUD,Suroccidente,13.74,0.0,0.13732711232991485,0.0
NUEVA COLOMBIA,Suroccidente,36.87,0.0,0.36841648450448944,0.0
LOMA FRESCA,Suroccidente,8.46,0.0,0.08450642822221024,0.0
SAN ISIDRO,Suroccidente,48.86,15.0,0.48822540022931754,30.72351416570002
LOS ANGELES I,Suroccidente,9.46,0.0,0.09449711138299884,0.0
REBOLO,Suroriental,137.61,0.0,1.374960608381922,0.0
LOS OLIVOS I,Suroccidente,39.45,1.0,0.394166131405742,2.537001330970854
LOS ANDES,Suroccidente,38.37,6.0,0.3833653205487052,15.650867927783054
LOS PINOS,Suroccidente,14.69,0.0,0.14680423989111904,0.0
CARLOS MEISEL,Suroccidente,29.62,0.0,0.2959459205715973,0.0
LA MANGA,Suroccidente,43.7,0.0,0.4366143581016566,0.0
LA LIBERTAD,Suroccidente,4.79,1.0,0.04785018012010388,20.898562920557488
