barrio,localidad,area_has,listing_count,area_km2,density_per_km2,estrato_predominante,total_viviendas,log_density,pct_homes_on_airbnb,log_pct_homes,saturation_rank,estrato_rank,displacement_risk_index
EL ROSARIO,Norte - Centro Historico,85.22,53.0,0.8514741264097109,62.2449917808748,2.0,1491.0,4.14701594314258,3.5546613011401744,1.516151170349053,0.9375,0.41761363636363635,0.5198863636363636
SAN LUIS,Metropolitana,29.17,5.0,0.2914831432211215,17.153650618509207,1.0,1653.0,2.8988716764917424,0.3024803387779794,0.26427039954333886,0.6477272727272727,0.1590909090909091,0.48863636363636365
SAN SALVADOR,Riomar,20.82,27.0,0.207998571591713,129.80858374834975,2.0,1192.0,4.873735061857256,2.2651006711409396,1.1832905956806006,0.8863636363636364,0.41761363636363635,0.46875
CORREGIMIENTO LA PLAYA,Riomar,179.69,16.0,1.7953739128672688,8.911792627334934,1.0,8509.0,2.293725222733383,0.18803619696791632,0.17230168930450027,0.5965909090909091,0.1590909090909091,0.4375
EL GOLFO,Suroccidente,11.23,1.0,0.1121897663093892,8.913468963312292,1.0,851.0,2.293894333841823,0.11750881316098707,0.11110193397201618,0.5568181818181818,0.1590909090909091,0.3977272727272727
20 DE JULIO,Metropolitana,32.26,1.0,0.3223486027873846,3.102231532424486,1.0,1184.0,1.4115311018467875,0.08445945945945946,0.08108166880595549,0.5170454545454546,0.1590909090909091,0.3579545454545455
7 DE ABRIL,Metropolitana,114.63,5.0,1.1453614776427443,4.36543405518618,1.0,6905.0,1.6799772777841557,0.0724112961622013,0.06990966085850665,0.5056818181818182,0.1590909090909091,0.34659090909090917
LA PAZ,Suroccidente,64.36,2.0,0.6430821351079331,3.1100226406761022,1.0,3224.0,1.4134285371732873,0.062034739454094295,0.06018663363511381,0.48295454545454547,0.1590909090909091,0.32386363636363635
LOS GIRASOLES,Metropolitana,16.64,1.0,0.1662330498194946,6.015650925528091,1.0,1811.0,1.948143499773968,0.05521811154058532,0.053747486356859664,0.4659090909090909,0.1590909090909091,0.30681818181818177
CIUDAD MODESTO,Suroccidente,31.06,1.0,0.310314839196835,3.2225336132433307,1.0,1903.0,1.4404353301757309,0.05254860746190226,0.05121446836966876,0.4602272727272727,0.1590909090909091,0.30113636363636365
LAS FLORES,Riomar,38.87,1.0,0.3883967541245876,2.57468681027964,1.0,2035.0,1.273877566792199,0.04914004914004914,0.04797082778602956,0.45454545454545453,0.1590909090909091,0.2954545454545454
LAS ESTRELLAS,Suroccidente,20.36,4.0,0.2033925923465775,19.666399615891947,2.0,753.0,3.0285091744818144,0.5312084993359893,0.4260572924691654,0.7045454545454546,0.41761363636363635,0.28693181818181823
LOS OLIVOS I,Suroccidente,39.45,1.0,0.394166131405742,2.537001330970854,1.0,2428.0,1.2632792865226377,0.04118616144975289,0.04036060308735916,0.4431818181818182,0.1590909090909091,0.28409090909090906
EVARISTO SOURDIS,Suroccidente,75.35,1.0,0.7529134102846332,1.3281739790262967,1.0,3354.0,0.8450842603355191,0.02981514609421586,0.02937931632346975,0.4318181818181818,0.1590909090909091,0.2727272727272727
LA ESMERALDA,Suroccidente,81.06,1.0,0.8099627503778182,1.234624678151602,1.0,3778.0,0.8040732847251819,0.02646903123345686,0.026124787741142255,0.42613636363636365,0.1590909090909091,0.2670454545454546
SANTO DOMINGO DE GUZMAN,Metropolitana,112.85,1.0,1.127560107356723,0.8868706807517738,1.0,6807.0,0.6349197323749345,0.014690759512266782,0.014583895641021485,0.4147727272727273,0.1590909090909091,0.25568181818181823
SAN FRANCISCO,Norte - Centro Historico,33.51,5.0,0.3348146360733849,14.933636290929932,2.0,1349.0,2.7684323647236355,0.37064492216456635,0.315281375179369,0.6704545454545454,0.41761363636363635,0.25284090909090906
CENTRO,Norte - Centro Historico,92.78,1.0,0.9270895364682014,1.078644468159521,2.0,272.0,0.7317159832655485,0.3676470588235294,0.3130917879771492,0.6647727272727273,0.41761363636363635,0.24715909090909094
LA LIBERTAD,Suroccidente,4.79,1.0,0.0478501801201038,20.898562920557488,2.0,285.0,3.0864210146034963,0.3508771929824561,0.3007541540191337,0.6590909090909091,0.41761363636363635,0.2414772727272727
LA FLORIDA,Suroccidente,5.56,5.0,0.0555958401506572,89.93478624391096,3.0,256.0,4.5101426149291735,1.953125,1.0828639316999704,0.8579545454545454,0.6420454545454546,0.21590909090909083
EL RUBI,Suroccidente,24.09,1.0,0.2406564428366556,4.155301176286167,2.0,365.0,1.64002553987213,0.273972602739726,0.2421400520048648,0.6278409090909091,0.41761363636363635,0.2102272727272727
COLINA CAMPESTRE,Suroccidente,26.05,3.0,0.2602692526168318,11.5265248193439,2.0,1397.0,2.52784838162435,0.21474588403722264,0.19453490597726453,0.6079545454545454,0.41761363636363635,0.19034090909090906
EL PUEBLO,Suroccidente,32.7,2.0,0.3267625475281875,6.120652489488484,2.0,1226.0,1.9629993630071232,0.1631321370309951,0.15111648447808454,0.5852272727272727,0.41761363636363635,0.16761363636363635
SIMON BOLIVAR,Suroriental,101.69,7.0,1.016030040117163,6.889560075598551,2.0,4836.0,2.0655403760914477,0.1447477253928867,0.13518428556282222,0.5795454545454546,0.41761363636363635,0.16193181818181823
COLOMBIA,Norte - Centro Historico,61.59,58.0,0.6153911814965143,94.2489943696545,4.0,1179.0,4.556494456152174,4.919423240033927,1.7782390184797807,0.9772727272727273,0.8153409090909091,0.16193181818181823
LA FLORESTA,Riomar,6.56,8.0,0.0655047560264054,122.12853669396368,3.0,569.0,4.813228823497694,1.4059753954305798,0.8779553911621178,0.8011363636363636,0.6420454545454546,0.15909090909090906
SAN MARINO,Riomar,5.16,9.0,0.0515569882853599,174.56411437740292,3.0,698.0,5.168004300279089,1.2893982808022924,0.8282890235638476,0.7897727272727273,0.6420454545454546,0.1477272727272727
VILLA CAROLINA,Riomar,76.63,64.0,0.7657200110308873,83.58146460589026,3.0,5111.0,4.43771514811445,1.2522011348072783,0.8119080201467824,0.7840909090909091,0.6420454545454546,0.14204545454545447
LA CONCEPCION,Norte - Centro Historico,68.34,37.0,0.6828214535585321,54.18693248018799,3.0,3464.0,4.010726194826601,1.0681293302540416,0.7266444934982766,0.7727272727272727,0.6420454545454546,0.13068181818181812
SAN NICOLAS,"Suroriente, Metropolitana",17.0,1.0,0.1698933540599556,5.886045428516871,2.0,1021.0,1.9294969621232767,0.0979431929480901,0.09343860490749435,0.5454545454545454,0.41761363636363635,0.12784090909090906
ABAJO,Norte - Centro Historico,86.01,23.0,0.8593697444554209,26.763800038800536,3.0,2235.0,3.3237330152759417,1.029082774049217,0.7075838555015678,0.7613636363636364,0.6420454545454546,0.11931818181818177
SANTA ANA,Norte - Centro Historico,32.88,28.0,0.3285285740736218,85.22850738007746,4.0,810.0,4.457000835062329,3.45679012345679,1.494428803660442,0.9261363636363636,0.8153409090909091,0.11079545454545459
UNIVERSAL,Suroriental,35.5,1.0,0.3547545461045971,2.81885041638101,2.0,1106.0,1.3399494392073665,0.09041591320072333,0.08655919520485064,0.5284090909090909,0.41761363636363635,0.11079545454545459
LOS NOGALES,Norte - Centro Historico,25.06,32.0,0.250411294296538,127.78976319696456,4.0,958.0,4.85818133222725,3.3402922755741122,1.4679416904470977,0.9147727272727273,0.8153409090909091,0.09943181818181823
EL POBLADO,Riomar,36.51,118.0,0.3648162262152052,323.4505252800673,5.0,874.0,5.78213306005205,13.501144164759726,2.674227554227927,1.0,0.9034090909090909,0.09659090909090906
BELLAVISTA,Norte - Centro Historico,22.65,23.0,0.2263383162176915,101.61779226933308,4.0,781.0,4.631011331633333,2.9449423815621,1.372434348756982,0.9090909090909091,0.8153409090909091,0.09375
ALTAMIRA,Riomar,13.59,29.0,0.1357725512001079,213.592510000482,5.0,346.0,5.368740927446227,8.38150289017341,2.2387399730168123,0.9943181818181818,0.9034090909090909,0.09090909090909083
EL CASTILLO,Norte - Centro Historico,33.03,16.0,0.3300790432615431,48.47323793083755,4.0,558.0,3.9014318755100232,2.867383512544803,1.352578183436769,0.9034090909090909,0.8153409090909091,0.08806818181818188
VILLA DEL ESTE,Riomar,6.27,26.0,0.0626248109256216,415.1709141426346,5.0,348.0,6.0310960271893865,7.471264367816093,2.136679773534753,0.9886363636363636,0.9034090909090909,0.08522727272727271
CHIQUINQUIRA,Suroriental,78.99,19.0,0.7892812496623588,24.072534357211552,3.0,2905.0,3.2217729982938375,0.6540447504302926,0.5032236521183813,0.7272727272727273,0.6420454545454546,0.08522727272727271
ALFONSO LOPEZ,Suroccidente,21.41,7.0,0.2139018413631227,32.725290981094005,3.0,1117.0,3.518248030109793,0.6266786034019696,0.4865402693269705,0.7215909090909091,0.6420454545454546,0.07954545454545447
MONTECRISTO,Norte - Centro Historico,41.55,5.0,0.4151202797883095,12.04470184532962,3.0,920.0,2.56838206246928,0.5434782608695652,0.4340384805522204,0.7102272727272727,0.6420454545454546,0.06818181818181812
LA CAMPIÑA,Norte - Centro Historico,23.15,45.0,0.2312851034315665,194.56505988642175,5.0,928.0,5.275893111206884,4.849137931034483,1.7662942881685593,0.9715909090909091,0.9034090909090909,0.06818181818181812
EL PORVENIR,Norte - Centro Historico,55.86,36.0,0.5581808538118671,64.49522543482595,4.0,1592.0,4.181977245859506,2.261306532663317,1.1821278919795977,0.8806818181818182,0.8153409090909091,0.06534090909090917
NUEVO HORIZONTE,Norte - Centro Historico,28.03,36.0,0.2801154091111017,128.51845642565624,5.0,802.0,4.863823391645926,4.488778054862843,1.7027056542198926,0.9659090909090909,0.9034090909090909,0.0625
CIUDAD JARDIN,Norte - Centro Historico,115.52,105.0,1.154291298828657,90.96490643787328,4.0,4688.0,4.521407052515563,2.2397610921501707,1.1754995900948444,0.875,0.8153409090909091,0.05965909090909094
CIUDADELA 20 DE JULIO,Metropolitana,173.38,8.0,1.7323289368909092,4.61806059440303,2.0,12965.0,1.7259865143844824,0.06170458927882761,0.059875719603942924,0.4772727272727273,0.41761363636363635,0.05965909090909094
GRANADILLO,Norte - Centro Historico,22.95,31.0,0.2293205948127353,135.18192740305247,5.0,729.0,4.913991693303558,4.252400548696845,1.6586852194686363,0.9602272727272727,0.9034090909090909,0.05681818181818177
PARAISO,Norte - Centro Historico,125.94,74.0,1.2584012957896569,58.80477098012237,4.0,3493.0,4.091085440050444,2.118522759805325,1.1373594152756135,0.8693181818181818,0.8153409090909091,0.05397727272727271
EL PRADO,Norte - Centro Historico,130.38,119.0,1.3027369732065173,91.3461446535113,5.0,2881.0,4.525543958654283,4.130510239500174,1.6352051161275443,0.9545454545454546,0.9034090909090909,0.051136363636363646
