id,lat,lon,room_type,property_type,reviews_count,nightly_usd,city
903565529664202729,6.19943,-75.5456,Entire home/apt,Entire home,125,774.8,Medellin
1694149496372700801,6.258,-75.6131,Entire home/apt,Entire home,6,152.32,Medellin
1216165259720468532,6.28509,-75.5715,Entire home/apt,Entire home,29,89.14,Medellin
1133594122864034869,6.2734,-75.55283,Entire home/apt,Entire rental unit,17,64.05,Medellin
1211859912758117439,6.25369,-75.51322,Entire home/apt,Entire home,44,119.34,Medellin
1587191730467010540,6.264037362622312,-75.5947077083365,Entire home/apt,Entire rental unit,16,76.26,Medellin
1440972312532624749,6.2797,-75.5627,Entire home/apt,Entire home,33,92.08,Medellin
1460579369042018467,6.2787,-75.5761,Entire home/apt,Entire rental unit,23,58.16,Medellin
1336440522391825060,6.2701,-75.5525,Entire home/apt,Entire rental unit,13,48.29,Medellin
1655283000152497602,6.2797,-75.5615,Entire home/apt,Entire rental unit,4,282.5,Medellin
936520410170917990,6.28201,-75.56361,Private room,Private room in rental unit,58,141.24,Medellin
760272507364750411,6.2759,-75.5612,Entire home/apt,Entire loft,128,25.49,Medellin
1587797476613464398,6.262662306507757,-75.5642219166237,Entire home/apt,Entire rental unit,30,38.13,Medellin
1622510423136128026,6.262397028403286,-75.56454642870429,Entire home/apt,Entire rental unit,20,72.58,Medellin
1163090047742836117,6.274893633083191,-75.48242226012255,Entire home/apt,Entire cabin,11,95.21,Medellin
1670290471292262410,6.2674,-75.5635,Entire home/apt,Entire serviced apartment,5,34.66,Medellin
668176614745355885,6.27666,-75.5617,Entire home/apt,Entire loft,180,23.92,Medellin
761046362921008670,6.2757,-75.5612,Entire home/apt,Entire loft,97,23.55,Medellin
1415108169672591088,6.276,-75.5775,Entire home/apt,Entire rental unit,10,37.6,Medellin
1264787288356690384,6.3013,-75.5668,Entire home/apt,Entire rental unit,23,32.66,Medellin
1300998690899780552,6.28143,-75.55921,Entire home/apt,Entire rental unit,46,222.34,Medellin
1700820271740200494,6.2751,-75.5829,Entire home/apt,Entire rental unit,1,53.38,Medellin
863760976138017447,6.2841,-75.564,Entire home/apt,Entire rental unit,77,23.92,Medellin
1259064265476045949,6.2329,-75.5504,Entire home/apt,Entire loft,69,50.46,Medellin
1290098612012163081,6.2322,-75.5511,Entire home/apt,Entire home,36,51.52,Medellin
1422856401794727536,6.23455,-75.54952,Entire home/apt,Entire loft,22,36.85,Medellin
1698580730880819932,6.2398,-75.5561,Entire home/apt,Entire rental unit,10,38.39,Medellin
1428875101575140531,6.235080213247058,-75.54878716297426,Entire home/apt,Entire loft,34,39.62,Medellin
1549444781202585552,6.237,-75.5537,Entire home/apt,Entire rental unit,47,42.49,Medellin
1650354680545812849,6.2334,-75.5491,Entire home/apt,Entire rental unit,3,35.22,Medellin
1605308368478831940,6.234595871114542,-75.54995153088875,Entire home/apt,Entire rental unit,3,39.82,Medellin
1529597903681453819,6.2346,-75.5498,Private room,Private room in home,13,37.98,Medellin
1221053250308599796,6.2267,-75.5489,Entire home/apt,Entire rental unit,6,36.5,Medellin
1185626841123694495,6.234,-75.5491,Entire home/apt,Entire loft,70,36.42,Medellin
937652289063479717,6.2389,-75.5536,Entire home/apt,Entire rental unit,40,45.0,Medellin
1018791174925292196,6.23414,-75.54854,Entire home/apt,Entire loft,109,53.33,Medellin
17666304,6.24395,-75.55934,Entire home/apt,Entire condo,175,45.27,Medellin
1243799290239128238,6.232,-75.55,Entire home/apt,Entire rental unit,26,52.15,Medellin
1389440873598672118,6.2323,-75.5437,Entire home/apt,Entire loft,20,38.35,Medellin
1648071335458866873,6.237655724826188,-75.55222556529525,Entire home/apt,Entire rental unit,5,40.76,Medellin
1644990218968244763,6.208882167682425,-75.4908294784672,Entire home/apt,Entire cabin,25,66.99,Medellin
1724371126421776098,6.22531,-75.60059,Entire home/apt,Entire home,1,122.01,Medellin
1231149022201333621,6.2437,-75.5582,Entire home/apt,Entire rental unit,75,29.8,Medellin
1266080645248428034,6.232048266099315,-75.59217842411935,Entire home/apt,Entire loft,52,57.56,Medellin
