codigo,nombre_barrio,comuna,listing_count,area_km2,density_per_km2,estrato_predominante,pct_predominante,fuente,total_viviendas,log_density,pct_homes_on_airbnb,log_pct_homes,saturation_rank,estrato_rank,displacement_risk_index
1308,San Javier No.2,SAN JAVIER,21.0,0.160103449964632,131.16519353355002,1.0,44.09,ECV 2020 (Ficha Caracterización Territorial 13),1636.0,4.884052606318573,1.2836185819070904,0.8257612821860408,0.7857142857142857,0.03773584905660377,0.7479784366576819
1309,San Javier No.1,SAN JAVIER,12.0,0.2128234907476519,56.3847531954477,1.0,44.09,ECV 2020 (Ficha Caracterización Territorial 13),1534.0,4.04977864426859,0.7822685788787485,0.5778870353566934,0.746031746031746,0.03773584905660377,0.7082958969751423
1304,Los Alcazares,SAN JAVIER,15.0,0.2682372764296002,55.92063936697777,1.0,44.09,ECV 2020 (Ficha Caracterización Territorial 13),3213.0,4.041658005888322,0.4668534080298786,0.3831195678078724,0.6904761904761905,0.03773584905660377,0.6527403414195867
0803,San Miguel,VILLA HERMOSA,20.0,0.3813349306672402,52.447332755499296,1.5,73.32,"ECV 2022 (Ficha Caracterización Territorial 8; estratos 1+2 combined, not disaggregated)",4089.0,3.978696734551449,0.4891171435558816,0.39818342324393174,0.6944444444444444,0.10754716981132076,0.5868972746331237
1310,Veinte de Julio,SAN JAVIER,8.0,0.3776189690301467,21.18537641407874,1.0,44.09,ECV 2020 (Ficha Caracterización Territorial 13),3819.0,3.0994333517402914,0.20947892118355593,0.1901896232050892,0.5912698412698413,0.03773584905660377,0.5535339922132375
0809,Sucre,VILLA HERMOSA,9.0,0.3485887469467614,25.81838937380998,1.5,73.32,"ECV 2022 (Ficha Caracterización Territorial 8; estratos 1+2 combined, not disaggregated)",2346.0,3.2890878228739067,0.3836317135549872,0.3247117188611158,0.6547619047619048,0.10754716981132076,0.547214734950584
1306,La Pradera,SAN JAVIER,9.0,0.3296076480313335,27.30519165363673,1.0,44.09,ECV 2020 (Ficha Caracterización Territorial 13),4843.0,3.3430452384827194,0.1858352260995251,0.1704473584610674,0.5833333333333334,0.03773584905660377,0.5455974842767296
1311,Belencito,SAN JAVIER,2.0,0.3723165446256108,5.371773102404389,1.0,44.09,ECV 2020 (Ficha Caracterización Territorial 13),1585.0,1.851877782877141,0.12618296529968456,0.11883400790235848,0.5436507936507936,0.03773584905660377,0.5059149445941898
0802,La Mansion,VILLA HERMOSA,6.0,0.2705546868158946,22.17666258386735,1.5,73.32,"ECV 2022 (Ficha Caracterización Territorial 8; estratos 1+2 combined, not disaggregated)",3308.0,3.1431458492828996,0.18137847642079807,0.16668195701909144,0.5793650793650794,0.10754716981132076,0.4718179095537587
0707,Bosques de San Pablo,ROBLEDO,6.0,0.2692507726976249,22.28405861155372,2.0,57.73,ECV 2022 (Ficha Caracterización Territorial 7; estratos 1+2 combined),850.0,3.1477689466522287,0.7058823529411765,0.534082485930258,0.7301587301587301,0.2811320754716981,0.449026654687032
1303,Santa Rosa de Lima,SAN JAVIER,1.0,0.1502752574004768,6.654455412676782,1.0,44.09,ECV 2020 (Ficha Caracterización Territorial 13),1167.0,2.0352878851912295,0.08568980291345331,0.08221554803458307,0.47619047619047616,0.03773584905660377,0.4384546271338724
0915,Asomadera No. 2,BUENOS AIRES,32.0,0.6289390160863696,50.879336758471304,3.0,58.75,ECV 2022 (Ficha Caracterización Territorial 9),454.0,3.9489205752198657,7.048458149779736,2.0854805388966042,0.9761904761904762,0.5754716981132075,0.40071877807726863
0709,Cordoba,ROBLEDO,12.0,0.2461475053412098,48.7512558104767,2.0,57.73,ECV 2022 (Ficha Caracterización Territorial 7; estratos 1+2 combined),3179.0,3.9070357057076595,0.3774771940861906,0.32025370589059565,0.6468253968253969,0.2811320754716981,0.36569332135369875
1620,El Nogal-Los Almendros,BELEN,63.0,0.1909404227257664,329.9458496040005,3.0,37.91,ECV 2022 (Ficha Caracterización Territorial 16),1698.0,5.801954765631182,3.7102473498233217,1.5497404225354712,0.9166666666666666,0.5754716981132075,0.3411949685534591
1602,Rosales,BELEN,132.0,0.5987362087240596,220.4643682420667,3.0,37.91,ECV 2022 (Ficha Caracterización Territorial 16),3565.0,5.400261710820608,3.7026647966339414,1.5481293260519327,0.9126984126984127,0.5754716981132075,0.33722671458520515
1319,El Socorro,SAN JAVIER,1.0,0.1653897647954658,6.046323369748303,1.0,44.09,ECV 2020 (Ficha Caracterización Territorial 13),2446.0,1.9525059729545484,0.04088307440719542,0.04006946287023416,0.36507936507936506,0.03773584905660377,0.3273435160227613
0706,La Pilarica,ROBLEDO,7.0,0.3170883074291713,22.07586920108558,2.0,57.73,ECV 2022 (Ficha Caracterización Territorial 7; estratos 1+2 combined),2634.0,3.1387874481988933,0.26575550493545935,0.23566918100751294,0.6071428571428571,0.2811320754716981,0.326010781671159
0702,B. Cerro El Volador,ROBLEDO,3.0,1.1388170317140152,2.6343125510555003,2.0,57.73,ECV 2022 (Ficha Caracterización Territorial 7; estratos 1+2 combined),1136.0,1.2904199737206532,0.2640845070422535,0.23434815032707282,0.6031746031746031,0.2811320754716981,0.32204252770290503
1316,El Salado,SAN JAVIER,2.0,0.3900253210995442,5.127872196506827,1.0,44.09,ECV 2020 (Ficha Caracterización Territorial 13),5041.0,1.8128475765593892,0.0396746677246578,0.03890784471953541,0.35714285714285715,0.03773584905660377,0.3194070080862534
1621,Cerro Nutibara,BELEN,13.0,0.5682294717455371,22.87808120910283,3.0,37.91,ECV 2022 (Ficha Caracterización Territorial 16),406.0,3.172960933918453,3.201970443349754,1.435553568449892,0.8928571428571429,0.5754716981132075,0.3173854447439354
1510,Guayabal,GUAYABAL,22.0,0.7599147978491678,28.9506140191873,3.0,54.99,ECV 2022 (Ficha Caracterización Territorial 15),800.0,3.399549825826675,2.75,1.3217558399823195,0.8849206349206349,0.5754716981132075,0.30944893680742735
0804,La Ladera,VILLA HERMOSA,1.0,0.5825912971686042,1.716469169484686,1.5,73.32,"ECV 2022 (Ficha Caracterización Territorial 8; estratos 1+2 combined, not disaggregated)",1541.0,0.9993329375928133,0.06489292667099286,0.06287425576997514,0.4166666666666667,0.10754716981132076,0.3091194968553459
0717,Robledo,ROBLEDO,4.0,0.5203101483239786,7.687722434176592,2.0,57.73,ECV 2022 (Ficha Caracterización Territorial 7; estratos 1+2 combined),2208.0,2.1619108144971317,0.18115942028985507,0.16649651564955764,0.5753968253968254,0.2811320754716981,0.29426474992512724
