comuna,estrato_predominante,pct_predominante,fuente
POPULAR,2,60.05,ECV 2020 (Ficha Caracterización Territorial 1)
SANTA CRUZ,2,87.46,ECV 2022 (Ficha Caracterización Territorial 2)
MANRIQUE,2,54.49,ECV 2022 (Ficha Caracterización Territorial 3)
ARANJUEZ,3,54.48,ECV 2022 (Ficha Caracterización Territorial 4)
CASTILLA,3,83.03,ECV 2022 (Ficha Caracterización Territorial 5)
DOCE DE OCTUBRE,2,56.15,ECV 2022 (Ficha Caracterización Territorial 6)
ROBLEDO,2,57.73,ECV 2022 (Ficha Caracterización Territorial 7; estratos 1+2 combined)
VILLA HERMOSA,1.5,73.32,"ECV 2022 (Ficha Caracterización Territorial 8; estratos 1+2 combined, not disaggregated)"
BUENOS AIRES,3,58.75,ECV 2022 (Ficha Caracterización Territorial 9)
LA CANDELARIA,4,51.57,ECV 2022 (Ficha Caracterización Territorial 10)
LAURELES,5,64.94,ECV 2022 (Ficha Caracterización Territorial 11)
LA AMERICA,4,39.78,ECV 2020 (Ficha Caracterización Territorial 12)
SAN JAVIER,1,44.09,ECV 2020 (Ficha Caracterización Territorial 13)
EL POBLADO,6,73.5,ECV 2022 (Ficha Caracterización Territorial 14 / El Poblado pilot)
GUAYABAL,3,54.99,ECV 2022 (Ficha Caracterización Territorial 15)
BELEN,3,37.91,ECV 2022 (Ficha Caracterización Territorial 16)
